Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,"Enterococcus
 (colonies/100 mL)","Temperature
(°C)",pH ,Observations
2018-05-14,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,10,28.6,8.14,
2018-05-14,RW-9,Caña Gorda,17.952530600000003,-66.8845611,Route 3: Lajas - Salinas,Routine,10,28.3,8.18,
2018-05-14,RW-34,Playa Cabullón,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,27.3,8.09,
2018-05-14,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,20,29,8.06/8.06,
2018-05-14,RW-37,Villa Lamela,18.0645333,-67.19752779999999,Route 4: Cabo Rojo,Routine,10,27,7.92,
2018-05-14,RW-8,Playa Buyé ,18.048872199999998,-67.198625,Route 4: Cabo Rojo,Routine,10,27.5,8.09,
2018-05-14,RW-13,Balneario de Boquerón,18.019441699999998,-67.1722444,Route 4: Cabo Rojo,Routine,10,29,8.12,
2018-05-14,RW-14A,Playa Moja Casabe,17.98581,-67.21459,Route 4: Cabo Rojo,Routine,10,28.4,8.23,
2018-05-14,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,86,28.3,8.24/8.24,
2018-05-14,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,20,29.1,8.11,
2018-05-14,RW-5,Balneario de Rincón,18.340925,-67.2560056,Route 5: Añasco - Aguadilla,Routine,10,29,8.14,
2018-05-14,RW-22,Pico de Piedra,18.3843639,-67.21298890000001,Route 5: Añasco - Aguadilla,Routine,10,29.1,8.12,
2018-05-14,RW-16,Balneario Crash Boat,18.457666699999997,-67.16377779999999,Route 5: Añasco - Aguadilla,Routine,10,28.9,8.08/8.07,
2018-05-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,41,28,8.04,
2018-05-15,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,10,27.8,8.09,
2018-05-15,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.39904440000001,Route: 6: Arecibo – Vega Alta ,Routine,10,28.1,8.1,
2018-05-15,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,10,28.2,8.12/8.12,
2018-05-21,RW-6,Balneario de Patillas,17.973975,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,31,27,RE-sampling,
2018-05-21,RW-30,Playa Guayanés,18.062694399999998,-65.8191944,Route 2: Arroyo - Luquillo,Re-sampling,75,27.5,RE-sampling,
2018-05-21,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Re-sampling,31,27.5,RE-sampling,
2018-05-21,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Re-sampling,10,27.1,RE-sampling,
2018-05-30,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,30,28.9,7.98,
2018-05-30,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,28,8.09,
2018-05-30,RW-20A,Balneario El Escambrón,18.4672361,-66.08995829999999,Route 1: Dorado - Loíza,Routine,20,28.4,8.07,
2018-05-30,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,10,28.5,8.04,
2018-05-30,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,28.8,8.11,
2018-05-30,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,10,28.3,8.14,
2018-05-30,RW-28,Playa El Alambique,18.444091699999998,-66.02215,Route 1: Dorado - Loíza,Routine,10,28.8,8.14,
2018-05-30,RW-21C,Balneario de Carolina,18.4459889,-66.00357220000001,Route 1: Dorado - Loíza,Routine,10,28.8,8.11,
2018-05-30,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,10,29.2,8.1,
2018-05-30,RW-7,Balneario Punta Guilarte,17.9620417,-66.04,Route 2: Arroyo - Luquillo,Routine,10,27.7,7.92,
2018-05-30,RW-6,Balneario de Patillas,17.973975,-65.9889806,Route 2: Arroyo - Luquillo,Routine,20,28.8,8.09,
2018-05-30,RW-30,Playa Guayanés,18.062694399999998,-65.8191944,Route 2: Arroyo - Luquillo,Routine,81,29.2,8.09,
2018-05-30,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,20,27.9,8.14,
2018-05-30,RW-31,Tropical Beach,18.186927800000003,-65.7259667,Route 2: Arroyo - Luquillo,Routine,17329,27.9,8.27,
2018-05-30,RW-2,Balneario Seven Seas,18.369266699999997,-65.6360722,Route 2: Arroyo - Luquillo,Routine,10,28.9,8.17,
2018-05-30,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,10,28.9,8.14,
2018-05-29,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,10,28.5,8.1,
2018-05-29,RW-33,Playita Rosada,17.971716699999998,-66.0315,Route 3: Lajas - Salinas,Routine,10,27.3,7.93,
2018-05-29,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,10,27.8,7.96,
2018-05-29,RW-9,Caña Gorda,17.952530600000003,-66.8845611,Route 3: Lajas - Salinas,Routine,10,28.5,8.1,
2018-05-29,RW-34,Playa Cabullón,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,28.9,8.16,
2018-05-29,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,10,29.8,8.19,
2018-05-29,RW-37,Villa Lamela,18.0645333,-67.19752779999999,Route 4: Cabo Rojo,Routine,10,28.2,8.08,
2018-05-29,RW-8,Playa Buyé ,18.048872199999998,-67.198625,Route 4: Cabo Rojo,Routine,10,27.9,8.05,
2018-05-29,RW-13,Balneario de Boquerón,18.019441699999998,-67.1722444,Route 4: Cabo Rojo,Routine,20,29.6,8.08,
2018-05-29,RW-14A,Playa Moja Casabe,17.98581,-67.21459,Route 4: Cabo Rojo,Routine,10,28.5,8.13,
2018-05-29,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,28.8,8.13,
2018-05-29,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,10,28.1,8.04,
2018-05-29,RW-5,Balneario de Rincón,18.340925,-67.2560056,Route 5: Añasco - Aguadilla,Routine,20,28.6,7.99,
2018-05-29,RW-22,Pico de Piedra,18.3843639,-67.21298890000001,Route 5: Añasco - Aguadilla,Routine,10,27.5,8.07,
2018-05-29,RW-16,Balneario Crash Boat,18.457666699999997,-67.16377779999999,Route 5: Añasco - Aguadilla,Routine,63,28.5,8.13,
2018-05-30,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,109,27.5,8.26,
2018-05-30,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,10,27.7,8.23,
2018-05-30,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.39904440000001,Route: 6: Arecibo – Vega Alta ,Routine,10,27.7,8.19,
2018-05-30,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,10,28,8.18,
2018-06-04,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Re-sampling,20,28,Re-sampling,
2018-06-04,RW-30,Playa Guayanés,18.062694399999998,-65.8191944,Route 2: Arroyo - Luquillo,Re-sampling,174,28,Re-sampling,
2018-06-04,RW-31,Tropical Beach,18.186927800000003,-65.7259667,Route 2: Arroyo - Luquillo,Re-sampling,20,27,Re-sampling,
2018-06-12,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,10,28.2,8.14,
2018-06-12,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,27.6,8.1,
2018-06-12,RW-20A,Balneario El Escambrón,18.4672361,-66.08995829999999,Route 1: Dorado - Loíza,Routine,10,28.5,8.13,
2018-06-12,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,10,28.3,8.09,
2018-06-12,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,28.8,8.14,
2018-06-12,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,10,28.1,8.17,
2018-06-12,RW-28,Playa El Alambique,18.444091699999998,-66.02215,Route 1: Dorado - Loíza,Routine,10,28.4,8.17,
2018-06-12,RW-21C,Balneario de Carolina,18.4459889,-66.00357220000001,Route 1: Dorado - Loíza,Routine,10,28.7,8.12,
2018-06-12,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,10,28.8,NO DATO ,
2018-06-12,RW-7,Balneario Punta Guilarte,17.9620417,-66.04,Route 2: Arroyo - Luquillo,Routine,63,28,8.13,
2018-06-12,RW-6,Balneario de Patillas,17.973975,-65.9889806,Route 2: Arroyo - Luquillo,Routine,41,27.6,8.16,
2018-06-12,RW-30,Playa Guayanés,18.062694399999998,-65.8191944,Route 2: Arroyo - Luquillo,Routine,20,28.2,8.14,
2018-06-12,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,10,28.3,7.95,
2018-06-12,RW-31,Tropical Beach,18.186927800000003,-65.7259667,Route 2: Arroyo - Luquillo,Routine,683,28.3,8.1,
2018-06-12,RW-2,Balneario Seven Seas,18.369266699999997,-65.6360722,Route 2: Arroyo - Luquillo,Routine,828,28.7,8.16,
2018-06-12,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,10,28.6,8.19,
2018-06-12,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,20,28.6,8.14,
2018-06-12,RW-33,Playita Rosada,17.971716699999998,-66.0315,Route 3: Lajas - Salinas,Routine,10,28.5,8.1,
2018-06-12,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,10,29.7,7.97,
2018-06-12,RW-9,Caña Gorda,17.952530600000003,-66.8845611,Route 3: Lajas - Salinas,Routine,10,29.2,8.01,
2018-06-12,RW-34,Playa Cabullón,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,29.3,8.01,
2018-06-12,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,20,30.4,8.05,
2018-06-11,RW-37,Villa Lamela,18.0645333,-67.19752779999999,Route 4: Cabo Rojo,Routine,20,30,8.05,
2018-06-11,RW-8,Playa Buyé ,18.048872199999998,-67.198625,Route 4: Cabo Rojo,Routine,10,29.5,7.99,
2018-06-11,RW-13,Balneario de Boquerón,18.019441699999998,-67.1722444,Route 4: Cabo Rojo,Routine,10,29.9,8.13,
2018-06-11,RW-14A,Playa Moja Casabe,17.98581,-67.21459,Route 4: Cabo Rojo,Routine,10,29.4,8.1,
2018-06-11,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,29.5,8.05,
2018-06-11,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,10,28.8,7.98,
2018-06-11,RW-5,Balneario de Rincón,18.340925,-67.2560056,Route 5: Añasco - Aguadilla,Routine,74,27.9,8.08,
2018-06-11,RW-22,Pico de Piedra,18.3843639,-67.21298890000001,Route 5: Añasco - Aguadilla,Routine,31,28.9,8.11,
2018-06-11,RW-16,Balneario Crash Boat,18.457666699999997,-67.16377779999999,Route 5: Añasco - Aguadilla,Routine,20,28.7,8.1,
2018-06-11,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,110,26.6,8.08,
2018-06-11,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,10,27.7,8.12,
2018-06-11,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.39904440000001,Route: 6: Arecibo – Vega Alta ,Routine,10,29.5,8.08,
2018-06-11,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,10,28.8,8.11,
2018-06-11,RW-31,Tropical Beach,,,,,10,,,
2018-06-11,RW-2,Balneario Seven Seas,,,,,10,,,
2018-06-11,RW-5,Balneario de Rincón,,,,,10,,,
2018-06-11,RW-38,Muelle de Arecibo,,,,,10,,,
2018-06-26,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,,,,,10,27.9,8.06,
2018-06-26,RW-19,Balneario Punta Salinas,,,,,10,28.1,8.1,
2018-06-26,RW-20A,Balneario El Escambrón,,,,,31,28.9,8.18,
2018-06-26,RW-25A,Playa Sixto Escobar,,,,,10,28.5,8.11,
2018-06-26,RW-26,Playita del Condado,,,,,10,28.9,8.21/8.21,
2018-06-26,RW-27,Ocean Park,,,,,10,28.4,8.16,
2018-06-26,RW-28,Playa El Alambique,,,,,10,28.8,8.17,
2018-06-26,RW-21C,Balneario de Carolina,,,,,10,29,8.16,
2018-06-26,RW-29,Vacía Talega,,,,,10,28.8,8.1,
2018-06-26,RW-7,Balneario Punta Guilarte,,,,,31,27.9,8.01,
2018-06-26,RW-6,Balneario de Patillas,,,,,10,27.9,8.1,
2018-06-26,RW-30,Playa Guayanés,,,,,10,28.3,8.03,
2018-06-26,RW-4,Balneario Punta Santiago,,,,,41,29,8.11,
2018-06-26,RW-31,Tropical Beach,,,,,41,28.2,8.07/8.07,
2018-06-26,RW-2,Balneario Seven Seas,,,,,10,29.7,8.18,
2018-06-26,RW-32,Playa Azul,,,,,10,28.9,8.2,
2018-06-26,RW-1A,Balneario La Monserrate,,,,,10,29,8.19,
2018-06-25,RW-33,Playita Rosada,,,,,10,27.7,7.98,
2018-06-25,RW-10,Playa Santa,,,,,85,28.4,6.89,
2018-06-25,RW-9,Caña Gorda,,,,,86,29,6.79,
2018-06-25,RW-34,Playa Cabullón,,,,,82,28.7,6.71,
2018-06-25,RW-36,Balneario de Salinas,,,,,120,29.6,6.75/6.80,
2018-06-25,RW-37,Villa Lamela,,,,,10,28.5,8.01,
2018-06-25,RW-8,Playa Buyé ,,,,,20,28.8,8.02,
2018-06-25,RW-13,Balneario de Boquerón,,,,,10,29,8.12,
2018-06-25,RW-14A,Playa Moja Casabe,,,,,30,28.5,8.08,
2018-06-25,RW-12B,Playa el Combate,,,,,10,29.2,8.12/8.12,
2018-06-25,RW-15,Balneario de Añasco or Balneario Tres Hermanos,,,,,20,29.6,7.96,
2018-06-25,RW-5,Balneario de Rincón,,,,,10,29.7,8.11,
2018-06-25,RW-22,Pico de Piedra,,,,,10,29.4,8.09,
2018-06-25,RW-16,Balneario Crash Boat,,,,,52,29.9,8.18/8.19,
2018-06-26,RW-38,Muelle de Arecibo,,,,,10,27.9,8.05,
2018-06-26,RW-39,Mar Chiquita,,,,,10,29.7,8.16,
2018-06-26,RW-23,Balneario de Puerto Nuevo,,,,,10,28,8.12,
2018-06-26,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,,,,,10,28.4,8.09/8.10,
2018-07-02,RW-10,Playa Santa,,,,,10,27,Re-sampling,
2018-07-02,RW-9,Caña Gorda,,,,,84,28,Re-sampling,
2018-07-02,RW-34,Playa Cabullón,,,,,20,28.5,Re-sampling,
2018-07-02,RW-36,Balneario de Salinas,,,,,30,28.5,Re-sampling,
2018-07-17,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,31,28.5,7.97,
2018-07-17,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,27.9,8.17,
2018-07-17,RW-20A,Balneario El Escambrón,18.4672361,-66.08995829999999,Route 1: Dorado - Loíza,Routine,10,29.1,8.2,
2018-07-17,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,10,28.6,8.01,
2018-07-17,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,29.1,8.23,
2018-07-17,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,10,28.8,8.26,
2018-07-17,RW-28,Playa El Alambique,18.444091699999998,-66.02215,Route 1: Dorado - Loíza,Routine,10,28.9,8.2,
2018-07-17,RW-21C,Balneario de Carolina,18.4459889,-66.00357220000001,Route 1: Dorado - Loíza,Routine,10,29.1,8.25,
2018-07-17,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,10,29.1,8.27,
2018-07-17,RW-7,Balneario Punta Guilarte,17.9620417,-66.04,Route 2: Arroyo - Luquillo,Routine,10,28.1,7.84,
2018-07-17,RW-6,Balneario de Patillas,17.973975,-65.9889806,Route 2: Arroyo - Luquillo,Routine,10,28.4,7.98,
2018-07-17,RW-30,Playa Guayanés,18.062694399999998,-65.8191944,Route 2: Arroyo - Luquillo,Routine,41,28.8,8,
2018-07-17,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,10,28.4,8.19,
2018-07-17,RW-31,Tropical Beach,18.186927800000003,-65.7259667,Route 2: Arroyo - Luquillo,Routine,30,29.3,8.2,
2018-07-17,RW-2,Balneario Seven Seas,18.369266699999997,-65.6360722,Route 2: Arroyo - Luquillo,Routine,10,29.5,8.23,
2018-07-17,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,10,29.2,8.24,
2018-07-17,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,10,29.2,8.2,
2018-07-16,RW-33,Playita Rosada,17.971716699999998,-66.0315,Route 3: Lajas - Salinas,Routine,10,28.7,7.96,
2018-07-16,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,10,28.4,8.07,
2018-07-16,RW-9,Caña Gorda,17.952530600000003,-66.8845611,Route 3: Lajas - Salinas,Routine,10,28.6,8.08,
2018-07-16,RW-34,Playa Cabullón,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,29.1,8.19,
2018-07-16,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,10,29.4,8.2,
2018-07-16,RW-37,Villa Lamela,18.0645333,-67.19752779999999,Route 4: Cabo Rojo,Routine,10,28.9,8.25,
2018-07-16,RW-8,Playa Buyé ,18.048872199999998,-67.198625,Route 4: Cabo Rojo,Routine,86,29.7,8.1,
2018-07-16,RW-13,Balneario de Boquerón,18.019441699999998,-67.1722444,Route 4: Cabo Rojo,Routine,10,29.3,8.13,
2018-07-16,RW-14A,Playa Moja Casabe,17.98581,-67.21459,Route 4: Cabo Rojo,Routine,10,29.5,8.17,
2018-07-16,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,29.5,8.15,
2018-07-16,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,10,29.7,8.41,
2018-07-16,RW-5,Balneario de Rincón,18.340925,-67.2560056,Route 5: Añasco - Aguadilla,Routine,10,29.3,8.31,
2018-07-16,RW-22,Pico de Piedra,18.3843639,-67.21298890000001,Route 5: Añasco - Aguadilla,Routine,20,29.7,8.32,
2018-07-16,RW-16,Balneario Crash Boat,18.457666699999997,-67.16377779999999,Route 5: Añasco - Aguadilla,Routine,30,29.2,8.38,
2018-07-17,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,10,28.9,8.15,
2018-07-17,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,10,28,8.24,
2018-07-17,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.39904440000001,Route: 6: Arecibo – Vega Alta ,Routine,10,28.6,8.19,
2018-07-17,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,10,29.4,8.14,
2018-07-23,RW-8,Playa Buyé ,18.048872199999998,-67.198625,Route 4: Cabo Rojo,Re-sampling,10,29.9,Re-sampling,
2018-07-31,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,10,27.9,8.21,
2018-07-31,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,27.8,8.17,
2018-07-31,RW-20A,Balneario El Escambrón,18.4672361,-66.08995829999999,Route 1: Dorado - Loíza,Routine,10,28.6,8.23,
2018-07-31,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,10,28.3,8.1,
2018-07-31,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,29.2,8.18,
2018-07-31,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,10,28.2,8.22,
2018-07-31,RW-28,Playa El Alambique,18.444091699999998,-66.02215,Route 1: Dorado - Loíza,Routine,10,28.8,8.2,
2018-07-31,RW-21C,Balneario de Carolina,18.4459889,-66.00357220000001,Route 1: Dorado - Loíza,Routine,10,29,8.16,
2018-07-31,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,20,29,8.2,
2018-07-31,RW-7,Balneario Punta Guilarte,17.9620417,-66.04,Route 2: Arroyo - Luquillo,Routine,10,28.8,7.97,
2018-07-31,RW-6,Balneario de Patillas,17.973975,-65.9889806,Route 2: Arroyo - Luquillo,Routine,10,28.9,8.04,
2018-07-31,RW-30,Playa Guayanés,18.062694399999998,-65.8191944,Route 2: Arroyo - Luquillo,Routine,96,28.1,8,
2018-07-31,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,10,28.8,8.01,
2018-07-31,RW-31,Tropical Beach,18.186927800000003,-65.7259667,Route 2: Arroyo - Luquillo,Routine,10,28.6,8.07,
2018-07-31,RW-2,Balneario Seven Seas,18.369266699999997,-65.6360722,Route 2: Arroyo - Luquillo,Routine,10,29,8.08,
2018-07-31,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,10,28.6,8.16,
2018-07-31,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,10,29.4,8.12,
2018-07-30,RW-33,Playita Rosada,17.971716699999998,-66.0315,Route 3: Lajas - Salinas,Routine,10,28.5,8.03,
2018-07-30,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,10,28.7,8.1,
2018-07-30,RW-9,Caña Gorda,17.952530600000003,-66.8845611,Route 3: Lajas - Salinas,Routine,10,29,8.03,
2018-07-30,RW-34,Playa Cabullón,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,30,8.13,
2018-07-30,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,10,30.5,8.19,
2018-07-30,RW-37,Villa Lamela,18.0645333,-67.19752779999999,Route 4: Cabo Rojo,Routine,10,29.5,8.25,
2018-07-30,RW-8,Playa Buyé ,18.048872199999998,-67.198625,Route 4: Cabo Rojo,Routine,10,29,8.23,
2018-07-30,RW-13,Balneario de Boquerón,18.019441699999998,-67.1722444,Route 4: Cabo Rojo,Routine,10,29.4,8.21,
2018-07-30,RW-14A,Playa Moja Casabe,17.98581,-67.21459,Route 4: Cabo Rojo,Routine,52,29.4,8.29,
2018-07-30,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,84,29.1,8.27,
2018-07-30,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,63,29.7,8.15,
2018-07-30,RW-5,Balneario de Rincón,18.340925,-67.2560056,Route 5: Añasco - Aguadilla,Routine,10,29.5,8.29,
2018-07-30,RW-22,Pico de Piedra,18.3843639,-67.21298890000001,Route 5: Añasco - Aguadilla,Routine,10,29.2,8.31,
2018-07-30,RW-16,Balneario Crash Boat,18.457666699999997,-67.16377779999999,Route 5: Añasco - Aguadilla,Routine,10,29.6,8.37,
2018-07-31,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,51,28.6,8.25,
2018-07-31,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,10,27.7,8.3,
2018-07-31,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.39904440000001,Route: 6: Arecibo – Vega Alta ,Routine,20,28.2,8.27,
2018-07-31,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,40,29.2,8.22,
2018-08-07,RW-30,Playa Guayanés,,-65.8191944,Route 2: Arroyo - Luquillo,Re-sampling,20,29.4,Re-sampling,
2018-08-06,RW-12B,Playa el Combate,,-67.2129056,Route 4: Cabo Rojo,Re-sampling,41,27.0,Re-sampling,
2018-08-14,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,10,29.1,8.17,
2018-08-14,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,28.5,8.22,
2018-08-14,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,10,26.8,8.26,
2018-08-14,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,10,29.3,8.14,
2018-08-14,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,29.3,8.22,
2018-08-14,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,10,29.5,8.19,
2018-08-14,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,10,29.8,8.22,
2018-08-14,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,10,29.8,8.21,
2018-08-14,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,10,29.1,8.25,
2018-08-13,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,119,28.1,8.18,
2018-08-13,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,214,28.4,8.11,
2018-08-13,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,73,29.4,8.05,
2018-08-13,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,20,29.7,8.18,
2018-08-13,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,110,29.5,8.13,
